Index,control:TEMPLATE_VOLUME,control:PRIMER1_VOLUME,control:PRIMER2_VOLUME,TEMPLATE_PLATE,TEMPLATE_WELL,TEMPLATE_VOLUME,PRIMER1_PLATE,PRIMER1_WELL,PRIMER1_VOLUME,PRIMER2_PLATE,PRIMER2_WELL,PRIMER2_VOLUME,WATER_VOLUME,OUTPUT_PLATE,OUTPUT_WELL
1,Normal,Normal,Normal,templates_plate,2,5,oligos_plate,21,5,oligos_plate,23,5,0,myassemblyfilelist_condensed_PCR_PLATE_1,1
2,Normal,Normal,Normal,templates_plate,2,5,oligos_plate,22,5,oligos_plate,24,5,0,myassemblyfilelist_condensed_PCR_PLATE_1,2
3,Normal,Normal,Normal,templates_plate,2,5,oligos_plate,22,5,oligos_plate,31,5,0,myassemblyfilelist_condensed_PCR_PLATE_1,3
4,Normal,Normal,Normal,templates_plate,1,5,oligos_plate,5,5,oligos_plate,7,5,0,myassemblyfilelist_condensed_PCR_PLATE_1,17
5,Normal,Normal,Normal,templates_plate,1,5,oligos_plate,6,5,oligos_plate,8,5,0,myassemblyfilelist_condensed_PCR_PLATE_1,18
6,Normal,Normal,Normal,templates_plate,2,5,oligos_plate,13,5,oligos_plate,15,5,0,myassemblyfilelist_condensed_PCR_PLATE_1,33
7,Normal,Normal,Normal,templates_plate,2,5,oligos_plate,14,5,oligos_plate,16,5,0,myassemblyfilelist_condensed_PCR_PLATE_1,34
8,Normal,Normal,Normal,templates_plate,1,5,oligos_plate,1,5,oligos_plate,3,5,0,myassemblyfilelist_condensed_PCR_PLATE_1,65
9,Normal,Normal,Normal,templates_plate,1,5,oligos_plate,2,5,oligos_plate,4,5,0,myassemblyfilelist_condensed_PCR_PLATE_1,66
10,Normal,Normal,Normal,templates_plate,1,5,oligos_plate,9,5,oligos_plate,11,5,0,myassemblyfilelist_condensed_PCR_PLATE_1,67
11,Normal,Normal,Normal,templates_plate,1,5,oligos_plate,10,5,oligos_plate,12,5,0,myassemblyfilelist_condensed_PCR_PLATE_1,68
12,Normal,Normal,Normal,templates_plate,2,5,oligos_plate,25,5,oligos_plate,27,5,0,myassemblyfilelist_condensed_PCR_PLATE_1,69
13,Normal,Normal,Normal,templates_plate,2,5,oligos_plate,26,5,oligos_plate,28,5,0,myassemblyfilelist_condensed_PCR_PLATE_1,70
14,Normal,Normal,Normal,templates_plate,2,5,oligos_plate,26,5,oligos_plate,29,5,0,myassemblyfilelist_condensed_PCR_PLATE_1,71
15,Normal,Normal,Normal,templates_plate,2,5,oligos_plate,30,5,oligos_plate,28,5,0,myassemblyfilelist_condensed_PCR_PLATE_1,72
16,Normal,Normal,Normal,templates_plate,2,5,oligos_plate,30,5,oligos_plate,29,5,0,myassemblyfilelist_condensed_PCR_PLATE_1,73
17,Normal,Normal,Normal,templates_plate,3,5,oligos_plate,17,5,oligos_plate,19,5,0,myassemblyfilelist_condensed_PCR_PLATE_1,81
18,Normal,Normal,Normal,templates_plate,3,5,oligos_plate,18,5,oligos_plate,20,5,0,myassemblyfilelist_condensed_PCR_PLATE_1,82
